Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
213,2021,4 weeks, All Redfin Metros,metro,7/5/2021,8/1/2021,106530,0.081665601,8.20%
227,2021,4 weeks, All Redfin Metros,metro,7/19/2021,8/15/2021,103646,0.061435579,6.10%
234,2021,4 weeks, All Redfin Metros,metro,7/26/2021,8/22/2021,101702,0.041708491,4.20%
241,2021,4 weeks, All Redfin Metros,metro,8/2/2021,8/29/2021,99092,0.023392236,2.30%
255,2021,4 weeks, All Redfin Metros,metro,8/16/2021,9/12/2021,93096,-0.022614173,-2.30%
283,2021,4 weeks, All Redfin Metros,metro,9/13/2021,10/10/2021,90654,-0.046299511,-4.60%
311,2021,4 weeks, All Redfin Metros,metro,10/11/2021,11/7/2021,82299,-0.0149377,-1.50%
346,2021,4 weeks, All Redfin Metros,metro,11/15/2021,12/12/2021,59796,-0.059160425,-5.90%
353,2021,4 weeks, All Redfin Metros,metro,11/22/2021,12/19/2021,54835,-0.055204259,-5.50%
248,2021,4 weeks, All Redfin Metros,metro,8/9/2021,9/5/2021,95234,-0.019762439,-2.00%
269,2021,4 weeks, All Redfin Metros,metro,8/30/2021,9/26/2021,90567,-0.046050622,-4.60%
276,2021,4 weeks, All Redfin Metros,metro,9/6/2021,10/3/2021,91372,-0.030947078,-3.10%
304,2021,4 weeks, All Redfin Metros,metro,10/4/2021,10/31/2021,84300,-0.038878121,-3.90%
332,2021,4 weeks, All Redfin Metros,metro,11/1/2021,11/28/2021,67787,-0.020617216,-2.10%
360,2021,4 weeks, All Redfin Metros,metro,11/29/2021,12/26/2021,51839,-0.042200174,-4.20%
9,2022,4 weeks, All Redfin Metros,metro,12/13/2021,1/9/2022,43492,-0.088676557,-8.90%
23,2022,4 weeks, All Redfin Metros,metro,12/27/2021,1/23/2022,55307,-0.117840338,-11.80%
65,2022,4 weeks, All Redfin Metros,metro,2/7/2022,3/6/2022,78273.6001,-0.013726798,-1.40%
58,2022,4 weeks, All Redfin Metros,metro,1/31/2022,2/27/2022,74616.74015,-0.009455321,-0.90%
122,2021,4 weeks, All Redfin Metros,metro,4/5/2021,5/2/2021,103581,0.639562492,64.00%
220,2021,4 weeks, All Redfin Metros,metro,7/12/2021,8/8/2021,105733,0.082852841,8.30%
52,2021,4 weeks, All Redfin Metros,metro,1/25/2021,2/21/2021,73806,-0.074440069,-7.40%
80,2021,4 weeks, All Redfin Metros,metro,2/22/2021,3/21/2021,90206,-0.038407829,-3.80%
164,2021,4 weeks, All Redfin Metros,metro,5/17/2021,6/13/2021,106763,0.176996516,17.70%
171,2021,4 weeks, All Redfin Metros,metro,5/24/2021,6/20/2021,106413,0.148089808,14.80%
290,2021,4 weeks, All Redfin Metros,metro,9/20/2021,10/17/2021,88928,-0.048928911,-4.90%
325,2021,4 weeks, All Redfin Metros,metro,10/25/2021,11/21/2021,76853,-0.011905527,-1.20%
